name,smiles,attach_atom_idx,frag_atom_idx,cap_atoms,fragment_smiles,total_count,molecule_count
fragment_00052,CC(C)(C)c1ccc2c(c1)OCCO2,1,4,"0,1,2,3",*c1ccc2c(c1)OCCO2,1157,1156
fragment_00053,CC(C)(C)N1CCCC1=O,1,4,"0,1,2,3",*N1CCCC1=O,1086,1084
fragment_00054,CC(C)(C)c1ccc(C#N)cc1,1,4,"0,1,2,3",*c1ccc(C#N)cc1,1069,1066
fragment_00055,CC(C)(C)C1CCC1,1,4,"0,1,2,3",*C1CCC1,1066,1065
fragment_00056,CC(C)(C)n1cncn1,1,4,"0,1,2,3",*n1cncn1,1057,1056
fragment_00057,CC(C)(C)c1nc2ccccc2s1,1,4,"0,1,2,3",*c1nc2ccccc2s1,992,990
fragment_00058,CC(C)(C)c1cccc([N+](=O)[O-])c1,1,4,"0,1,2,3",*c1cccc([N+](=O)[O-])c1,987,984
fragment_00059,CC(C)(C)c1ccc(Cl)cc1Cl,1,4,"0,1,2,3",*c1ccc(Cl)cc1Cl,973,972
fragment_00060,CC(C)(C)c1cccc2ccccc12,1,4,"0,1,2,3",*c1cccc2ccccc12,967,967
fragment_00061,CC(C)(C)c1cccc(Br)c1,1,4,"0,1,2,3",*c1cccc(Br)c1,950,949
fragment_00062,CC(C)(C)c1ncccn1,1,4,"0,1,2,3",*c1ncccn1,937,935
fragment_00063,CC(C)(C)C(=O)CC,1,4,"0,1,2,3",*C(=O)CC,930,925
fragment_00064,CC(C)(C)CC#C,1,4,"0,1,2,3",*CC#C,920,870
fragment_00065,CC(C)(C)CC(N)=O,1,4,"0,1,2,3",*CC(N)=O,905,898
fragment_00066,CC(C)(C)[C@@H]1CCS(=O)(=O)C1,1,4,"0,1,2,3",*[C@@H]1CCS(=O)(=O)C1,851,850
fragment_00067,CC(C)(C)c1c(F)cccc1F,1,4,"0,1,2,3",*c1c(F)cccc1F,843,842
fragment_00068,CC(C)(C)C1CCOCC1,1,4,"0,1,2,3",*C1CCOCC1,842,839
fragment_00069,CC(C)(C)[C@H](C)CC,1,4,"0,1,2,3",*[C@H](C)CC,837,835
fragment_00070,CC(C)(C)[C@@H](C)CC,1,4,"0,1,2,3",*[C@@H](C)CC,823,818
fragment_00071,CC(C)(C)c1cccc(C#N)c1,1,4,"0,1,2,3",*c1cccc(C#N)c1,819,818
fragment_00072,CC(C)(C)CC#N,1,4,"0,1,2,3",*CC#N,815,783
fragment_00073,CC(C)(C)c1ccc(Cl)c(Cl)c1,1,4,"0,1,2,3",*c1ccc(Cl)c(Cl)c1,786,786
fragment_00074,CC(C)(C)c1ccccc1Br,1,4,"0,1,2,3",*c1ccccc1Br,779,779
fragment_00075,CC(C)(C)c1c[nH]c2ccccc12,1,4,"0,1,2,3",*c1c[nH]c2ccccc12,778,776
fragment_00076,CC(C)(C)c1ccc(O)cc1,1,4,"0,1,2,3",*c1ccc(O)cc1,771,767
fragment_00077,CC(C)(C)[C@H]1CCS(=O)(=O)C1,1,4,"0,1,2,3",*[C@H]1CCS(=O)(=O)C1,747,745
fragment_00078,CC(C)(C)CCC(C)C,1,4,"0,1,2,3",*CCC(C)C,737,736
fragment_00079,CC(C)(C)n1ccnc1,1,4,"0,1,2,3",*n1ccnc1,725,723
fragment_00080,CC(C)(C)c1ccc2ccccc2c1,1,4,"0,1,2,3",*c1ccc2ccccc2c1,684,684
fragment_00081,CC(C)(C)N1CCCCCC1,1,4,"0,1,2,3",*N1CCCCCC1,672,670
fragment_00082,CC(C)(C)c1cc(F)ccc1F,1,4,"0,1,2,3",*c1cc(F)ccc1F,650,650
fragment_00083,CC(C)(C)c1cnccn1,1,4,"0,1,2,3",*c1cnccn1,618,617
fragment_00084,CC(C)(C)C(=O)C(C)C,1,4,"0,1,2,3",*C(=O)C(C)C,611,607
fragment_00085,CC(C)(C)c1ccoc1,1,4,"0,1,2,3",*c1ccoc1,605,603
fragment_00086,CC(C)(C)c1ccc(Cl)s1,1,4,"0,1,2,3",*c1ccc(Cl)s1,604,603
fragment_00087,CC(C)(C)c1nc2ccccc2[nH]1,1,4,"0,1,2,3",*c1nc2ccccc2[nH]1,599,597
fragment_00088,CC(C)(C)c1ccccc1[N+](=O)[O-],1,4,"0,1,2,3",*c1ccccc1[N+](=O)[O-],597,597
fragment_00089,CC(C)(C)CCC#N,1,4,"0,1,2,3",*CCC#N,568,548
fragment_00090,CC(C)(C)n1cccc1,1,4,"0,1,2,3",*n1cccc1,563,562
fragment_00091,CC(C)(C)c1ccccc1O,1,4,"0,1,2,3",*c1ccccc1O,555,554
fragment_00092,CC(C)(C)c1cccc(O)c1,1,4,"0,1,2,3",*c1cccc(O)c1,511,510
fragment_00093,CC(C)(C)C(=O)C(C)(C)C,1,4,"0,1,2,3",*C(=O)C(C)(C)C,503,501
fragment_00094,CC(C)(C)OC(F)(F)F,1,4,"0,1,2,3",*OC(F)(F)F,501,501
fragment_00095,CC(C)(C)N1CCc2ccccc21,1,4,"0,1,2,3",*N1CCc2ccccc21,494,494
fragment_00096,CC(C)(C)n1cnnn1,1,4,"0,1,2,3",*n1cnnn1,480,480
fragment_00097,CC(C)(C)C12CC3CC(CC(C3)C1)C2,1,4,"0,1,2,3",*C12CC3CC(CC(C3)C1)C2,476,476
fragment_00098,CC(C)(C)c1ccccc1C#N,1,4,"0,1,2,3",*c1ccccc1C#N,474,474
fragment_00099,CC(C)(C)S(=O)(=O)c1ccccc1,1,4,"0,1,2,3",*S(=O)(=O)c1ccccc1,471,469
fragment_00100,CC(C)(C)[C@@H]1CCOC1,1,4,"0,1,2,3",*[C@@H]1CCOC1,467,467
fragment_00101,CC(C)(C)C(=O)CCC,1,4,"0,1,2,3",*C(=O)CCC,451,450
fragment_00102,CC(C)(C)c1c(F)cccc1Cl,1,4,"0,1,2,3",*c1c(F)cccc1Cl,449,449
fragment_00103,CC(C)(C)CC(F)F,1,4,"0,1,2,3",*CC(F)F,446,446
fragment_00104,CC(C)(C)c1cc(F)cc(F)c1,1,4,"0,1,2,3",*c1cc(F)cc(F)c1,408,407
fragment_00105,CC(C)(C)c1ccc(F)cc1Cl,1,4,"0,1,2,3",*c1ccc(F)cc1Cl,405,405
fragment_00106,CC(C)(C)N1C(=O)c2ccccc2C1=O,1,4,"0,1,2,3",*N1C(=O)c2ccccc2C1=O,401,400
fragment_00107,CC(C)(C)C1CCCCCC1,1,4,"0,1,2,3",*C1CCCCCC1,390,389
fragment_00108,CC(C)(C)[C@H]1CCOC1,1,4,"0,1,2,3",*[C@H]1CCOC1,390,389
fragment_00109,CC(C)(C)c1cc2ccccc2o1,1,4,"0,1,2,3",*c1cc2ccccc2o1,385,385
fragment_00110,CC(C)(C)N,1,4,"0,1,2,3",*N,372,372
fragment_00111,CC(C)(C)c1cc(Cl)ccc1Cl,1,4,"0,1,2,3",*c1cc(Cl)ccc1Cl,371,371
fragment_00112,CC(C)(C)c1ccc(F)c(Cl)c1,1,4,"0,1,2,3",*c1ccc(F)c(Cl)c1,359,358
fragment_00113,CC(C)(C)N1CCc2ccccc2C1,1,4,"0,1,2,3",*N1CCc2ccccc2C1,357,356
fragment_00114,CC(C)(C)C(F)F,1,4,"0,1,2,3",*C(F)F,351,348
fragment_00115,CC(C)(C)c1ccc2c(c1)CCC2,1,4,"0,1,2,3",*c1ccc2c(c1)CCC2,351,351
fragment_00116,CC(C)(C)c1ccc(S(C)(=O)=O)cc1,1,4,"0,1,2,3",*c1ccc(S(C)(=O)=O)cc1,346,345
fragment_00117,CC(C)(C)c1c(Cl)cccc1Cl,1,4,"0,1,2,3",*c1c(Cl)cccc1Cl,345,345
fragment_00118,CC(C)(C)c1cccc(Cl)c1Cl,1,4,"0,1,2,3",*c1cccc(Cl)c1Cl,344,344
fragment_00119,CC(C)(C)c1ccc(S(N)(=O)=O)cc1,1,4,"0,1,2,3",*c1ccc(S(N)(=O)=O)cc1,340,340
fragment_00120,CC(C)(C)C(CC)CC,1,4,"0,1,2,3",*C(CC)CC,338,338
fragment_00121,CC(C)(C)C1CCNCC1,1,4,"0,1,2,3",*C1CC[NH2+]CC1,336,336
fragment_00122,CC(C)(C)c1nnc2ccccn12,1,4,"0,1,2,3",*c1nnc2ccccn12,332,332
fragment_00123,CC(C)(C)c1nc2ccccc2o1,1,4,"0,1,2,3",*c1nc2ccccc2o1,324,324
fragment_00124,CC(C)(C)c1cccc(F)c1F,1,4,"0,1,2,3",*c1cccc(F)c1F,316,315
fragment_00125,CC(C)(C)c1cscn1,1,4,"0,1,2,3",*c1cscn1,310,309
fragment_00126,CC(C)(C)CC(C)(C)O,1,4,"0,1,2,3",*CC(C)(C)O,309,309
fragment_00127,CC(C)(C)CCCO,1,4,"0,1,2,3",*CCCO,303,303
fragment_00128,CC(C)(C)c1ccc[nH]1,1,4,"0,1,2,3",*c1ccc[nH]1,301,299
fragment_00129,CC(C)(C)c1cc(Cl)cc(Cl)c1,1,4,"0,1,2,3",*c1cc(Cl)cc(Cl)c1,301,301
fragment_00130,CC(C)(C)CCl,1,4,"0,1,2,3",*CCl,295,293
fragment_00131,CC(C)(C)c1ccc(Cl)cn1,1,4,"0,1,2,3",*c1ccc(Cl)cn1,292,291
fragment_00132,CC(C)(C)CCN,1,4,"0,1,2,3",*CC[NH3+],286,286
fragment_00133,CC(C)(C)S(=O)(=O)c1ccc(F)cc1,1,4,"0,1,2,3",*S(=O)(=O)c1ccc(F)cc1,284,284
fragment_00134,CC(C)(C)c1cccc2cccnc12,1,4,"0,1,2,3",*c1cccc2cccnc12,279,279
fragment_00135,CC(C)(C)n1ccnn1,1,4,"0,1,2,3",*n1ccnn1,276,276
fragment_00136,CC(C)(C)S(=O)(=O)c1cccs1,1,4,"0,1,2,3",*S(=O)(=O)c1cccs1,269,269
fragment_00137,CC(C)(C)c1ccc(Cl)c(F)c1,1,4,"0,1,2,3",*c1ccc(Cl)c(F)c1,268,268
fragment_00138,CC(C)(C)[C@@H]1COc2ccccc2O1,1,4,"0,1,2,3",*[C@@H]1COc2ccccc2O1,267,267
fragment_00139,CC(C)(C)c1ccc2c(c1)OCCCO2,1,4,"0,1,2,3",*c1ccc2c(c1)OCCCO2,260,259
fragment_00140,CC(C)(C)c1ccc(Cl)nc1,1,4,"0,1,2,3",*c1ccc(Cl)nc1,259,259
fragment_00141,CC(C)(C)c1ccon1,1,4,"0,1,2,3",*c1ccon1,259,259
fragment_00142,CC(C)(C)CCC(F)(F)F,1,4,"0,1,2,3",*CCC(F)(F)F,258,258
fragment_00143,CC(C)(C)CCS(C)(=O)=O,1,4,"0,1,2,3",*CCS(C)(=O)=O,258,258
fragment_00144,CC(C)(C)n1cnc2ccccc21,1,4,"0,1,2,3",*n1cnc2ccccc21,257,256
fragment_00145,CC(C)(C)S(=O)(=O)CC,1,4,"0,1,2,3",*S(=O)(=O)CC,257,257
fragment_00146,CC(C)(C)c1nnc2n1CCCCC2,1,4,"0,1,2,3",*c1nnc2n1CCCCC2,255,255
fragment_00147,CC(C)(C)c1cccnc1Cl,1,4,"0,1,2,3",*c1cccnc1Cl,254,254
fragment_00148,CC(C)(C)[C@@H]1CCCCO1,1,4,"0,1,2,3",*[C@@H]1CCCCO1,253,253
fragment_00149,CC(C)(C)c1ccc(Br)s1,1,4,"0,1,2,3",*c1ccc(Br)s1,246,246
fragment_00150,CC(C)(C)[C@H]1COc2ccccc2O1,1,4,"0,1,2,3",*[C@H]1COc2ccccc2O1,242,242
fragment_00151,CC(C)(C)c1cc[nH]n1,1,4,"0,1,2,3",*c1cc[nH]n1,237,237
fragment_00152,CC(C)(C)C(C)(C)CC,1,4,"0,1,2,3",*C(C)(C)CC,234,234
fragment_00153,CC(C)(C)N1CCCc2ccccc21,1,4,"0,1,2,3",*N1CCCc2ccccc21,233,233
fragment_00154,CC(C)(C)c1ccc2c(c1)CCO2,1,4,"0,1,2,3",*c1ccc2c(c1)CCO2,230,230
fragment_00155,CC(C)(C)CCC(=O)O,1,4,"0,1,2,3",*CCC(=O)[O-],230,229
fragment_00156,CC(C)(C)CC(=C)C,1,4,"0,1,2,3",*CC(=C)C,229,226
fragment_00157,CC(C)(C)c1ccc(F)cn1,1,4,"0,1,2,3",*c1ccc(F)cn1,227,227
fragment_00158,CC(C)(C)CCCCC,1,4,"0,1,2,3",*CCCCC,226,226
fragment_00159,CC(C)(C)c1ccc2ccccc2n1,1,4,"0,1,2,3",*c1ccc2ccccc2n1,226,226
fragment_00160,CC(C)(C)[C@H]1CC=CCC1,1,4,"0,1,2,3",*[C@H]1CC=CCC1,225,225
fragment_00161,CC(C)(C)S(=O)(=O)c1ccc(Cl)cc1,1,4,"0,1,2,3",*S(=O)(=O)c1ccc(Cl)cc1,224,224
fragment_00162,CC(C)(C)N1C(=O)CCC1=O,1,4,"0,1,2,3",*N1C(=O)CCC1=O,223,222
fragment_00163,CC(C)(C)N1CCSCC1,1,4,"0,1,2,3",*N1CCSCC1,221,221
fragment_00164,CC(C)(C)O,1,4,"0,1,2,3",*[O-],217,209
fragment_00165,CC(C)(C)c1nc[nH]n1,1,4,"0,1,2,3",*c1nc[nH]n1,217,217
fragment_00166,CC(C)(C)c1nc2ccccc2c(=O)[nH]1,1,4,"0,1,2,3",*c1nc2ccccc2c(=O)[nH]1,210,210
fragment_00167,CC(C)(C)N1CCOC1=O,1,4,"0,1,2,3",*N1CCOC1=O,210,210
fragment_00168,CC(C)(C)C(=O)CC(C)C,1,4,"0,1,2,3",*C(=O)CC(C)C,209,208
fragment_00169,CC(C)(C)N1CCNC1=O,1,4,"0,1,2,3",*N1CCNC1=O,207,207
fragment_00170,CC(C)(C)[C@@H](C)C(C)C,1,4,"0,1,2,3",*[C@@H](C)C(C)C,207,207
fragment_00171,CC(C)(C)c1ccc(Br)o1,1,4,"0,1,2,3",*c1ccc(Br)o1,207,207
fragment_00172,CC(C)(C)c1ccc(Br)cc1F,1,4,"0,1,2,3",*c1ccc(Br)cc1F,207,207
fragment_00173,CC(C)(C)C[C@@H](C)O,1,4,"0,1,2,3",*C[C@@H](C)O,203,202
fragment_00174,CC(C)(C)[C@H]1CCCCO1,1,4,"0,1,2,3",*[C@H]1CCCCO1,201,201
fragment_00175,CC(C)(C)c1ccc2c(c1)COC2,1,4,"0,1,2,3",*c1ccc2c(c1)COC2,199,199
fragment_00176,CC(C)(C)[C@@H]1CC=CCC1,1,4,"0,1,2,3",*[C@@H]1CC=CCC1,196,195
fragment_00177,CC(C)(C)N1CCCCC1=O,1,4,"0,1,2,3",*N1CCCCC1=O,195,195
fragment_00178,CC(C)(C)c1ccc(C#N)cn1,1,4,"0,1,2,3",*c1ccc(C#N)cn1,195,194
fragment_00179,CC(C)(C)c1ncc[nH]1,1,4,"0,1,2,3",*c1ncc[nH]1,194,193
fragment_00180,CC(C)(C)c1ccc([S@](C)=O)cc1,1,4,"0,1,2,3",*c1ccc([S@](C)=O)cc1,193,193
fragment_00181,CC(C)(C)c1ccc(N)cc1,1,4,"0,1,2,3",*c1ccc(N)cc1,193,193
fragment_00182,CC(C)(C)c1ccc(I)cc1,1,4,"0,1,2,3",*c1ccc(I)cc1,192,192
fragment_00183,CC(C)(C)[C@@H](C)O,1,4,"0,1,2,3",*[C@@H](C)O,191,190
fragment_00184,CC(C)(C)n1c(=O)oc2ccccc21,1,4,"0,1,2,3",*n1c(=O)oc2ccccc21,188,187
fragment_00185,CC(C)(C)c1nncs1,1,4,"0,1,2,3",*c1nncs1,187,187
fragment_00186,CC(C)(C)c1ccc(F)c(F)c1F,1,4,"0,1,2,3",*c1ccc(F)c(F)c1F,184,184
fragment_00187,CC(C)(C)C[C@H](C)O,1,4,"0,1,2,3",*C[C@H](C)O,181,181
fragment_00188,CC(C)(C)c1nnc2n1CCC2,1,4,"0,1,2,3",*c1nnc2n1CCC2,181,181
fragment_00189,CC(C)(C)CCC(N)=O,1,4,"0,1,2,3",*CCC(N)=O,178,178
fragment_00190,CC(C)(C)n1cnnc1,1,4,"0,1,2,3",*n1cnnc1,178,178
fragment_00191,CC(C)(C)c1cn[nH]c1,1,4,"0,1,2,3",*c1cn[nH]c1,178,178
fragment_00192,CC(C)(C)[C@@H]1CCCN1,1,4,"0,1,2,3",*[C@@H]1CCC[NH2+]1,174,174
fragment_00193,CC(C)(C)c1cc2ccccc2[nH]1,1,4,"0,1,2,3",*c1cc2ccccc2[nH]1,174,174
fragment_00194,CC(C)(C)c1cc(F)cc(Br)c1,1,4,"0,1,2,3",*c1cc(F)cc(Br)c1,172,172
fragment_00195,CC(C)(C)CS(C)(=O)=O,1,4,"0,1,2,3",*CS(C)(=O)=O,168,168
fragment_00196,CC(C)(C)[C@H](C)O,1,4,"0,1,2,3",*[C@H](C)O,168,168
fragment_00197,CC(C)(C)CC(C)(C)C,1,4,"0,1,2,3",*CC(C)(C)C,167,166
fragment_00198,CC(C)(C)CCC1=CCCCC1,1,4,"0,1,2,3",*CCC1=CCCCC1,164,163
fragment_00199,CC(C)(C)c1cncc(Br)c1,1,4,"0,1,2,3",*c1cncc(Br)c1,164,164
fragment_00200,CC(C)(C)[C@H](C)C(C)C,1,4,"0,1,2,3",*[C@H](C)C(C)C,164,164
fragment_00201,CC(C)(C)N1CCNCC1,1,4,"0,1,2,3",*N1CC[NH2+]CC1,163,163
fragment_00202,CC(C)(C)c1ccc(Cl)cc1F,1,4,"0,1,2,3",*c1ccc(Cl)cc1F,162,162
fragment_00203,CC(C)(C)SC(F)F,1,4,"0,1,2,3",*SC(F)F,162,162
fragment_00204,CC(C)(C)c1cc(C#N)cs1,1,4,"0,1,2,3",*c1cc(C#N)cs1,160,160
fragment_00205,CC(C)(C)c1ccc([S@@](C)=O)cc1,1,4,"0,1,2,3",*c1ccc([S@@](C)=O)cc1,160,160
fragment_00206,CC(C)(C)C1CCCCCCC1,1,4,"0,1,2,3",*C1CCCCCCC1,158,158
fragment_00207,CC(C)(C)n1nnc2ccccc21,1,4,"0,1,2,3",*n1nnc2ccccc21,157,154
fragment_00208,CC(C)(C)n1cnc2ccccc2c1=O,1,4,"0,1,2,3",*n1cnc2ccccc2c1=O,154,153
fragment_00209,CC(C)(C)n1ccccc1=O,1,4,"0,1,2,3",*n1ccccc1=O,150,150
fragment_00210,CC(C)(C)c1cn2ccccc2n1,1,4,"0,1,2,3",*c1cn2ccccc2n1,150,150
fragment_00211,CC(C)(C)c1cc(Br)ccc1F,1,4,"0,1,2,3",*c1cc(Br)ccc1F,148,148
fragment_00212,CC(C)(C)c1ccc2c(c1)CCC(=O)N2,1,4,"0,1,2,3",*c1ccc2c(c1)CCC(=O)N2,146,146
fragment_00213,CC(C)(C)c1cccc(N)c1,1,4,"0,1,2,3",*c1cccc(N)c1,146,146
fragment_00214,CC(C)(C)N1CCNC(=O)C1,1,4,"0,1,2,3",*N1CCNC(=O)C1,144,144
fragment_00215,CC(C)(C)c1ncccc1C#N,1,4,"0,1,2,3",*c1ncccc1C#N,143,142
fragment_00216,CC(C)(C)[C@@H]1CCCCN1,1,4,"0,1,2,3",*[C@@H]1CCCC[NH2+]1,143,143
fragment_00217,CC(C)(C)C(=O)NN,1,4,"0,1,2,3",*C(=O)NN,142,142
fragment_00218,CC(C)(C)c1ccncc1Cl,1,4,"0,1,2,3",*c1ccncc1Cl,142,142
fragment_00219,CC(C)(C)C1CCC(O)CC1,1,4,"0,1,2,3",*C1CCC(O)CC1,140,140
fragment_00220,CC(C)(C)c1nc2c(s1)CCCC2,1,4,"0,1,2,3",*c1nc2c(s1)CCCC2,140,139
fragment_00221,CC(C)(C)CC(=O)C(C)(C)C,1,4,"0,1,2,3",*C(=O)CC(C)(C)C,139,139
fragment_00222,CC(C)(C)c1cccc2ncccc12,1,4,"0,1,2,3",*c1cccc2ncccc12,139,139
fragment_00223,CC(C)(C)c1cc2ccccc2oc1=O,1,4,"0,1,2,3",*c1cc2ccccc2oc1=O,138,138
fragment_00224,CC(C)(C)c1nnn[nH]1,1,4,"0,1,2,3",*c1nnn[n-]1,138,138
fragment_00225,CC(C)(C)c1ccccc1N,1,4,"0,1,2,3",*c1ccccc1N,136,136
fragment_00226,CC(C)(C)CC(C)=O,1,4,"0,1,2,3",*CC(C)=O,136,136
fragment_00227,CC(C)(C)C(=O)/C=C/c1ccccc1,1,4,"0,1,2,3",*C(=O)/C=C/c1ccccc1,135,135
fragment_00228,CC(C)(C)c1ccc([N+](=O)[O-])cc1Cl,1,4,"0,1,2,3",*c1ccc([N+](=O)[O-])cc1Cl,135,135
fragment_00229,CC(C)(C)[C@@H]1C[C@H]2CC[C@@H]1C2,1,4,"0,1,2,3",*[C@@H]1C[C@H]2CC[C@@H]1C2,135,135
fragment_00230,CC(C)(C)c1cccc(C#C)c1,1,4,"0,1,2,3",*c1cccc(C#C)c1,134,133
fragment_00231,CC(C)(C)N1CCc2cc(F)ccc2C1,1,4,"0,1,2,3",*N1CCc2cc(F)ccc2C1,133,133
fragment_00232,CC(C)(C)c1ccc2c(c1)CCCC2,1,4,"0,1,2,3",*c1ccc2c(c1)CCCC2,129,129
fragment_00233,CC(C)(C)c1ccc([N+](=O)[O-])o1,1,4,"0,1,2,3",*c1ccc([N+](=O)[O-])o1,128,128
fragment_00234,CC(C)(C)[C@H](C)CCC,1,4,"0,1,2,3",*[C@H](C)CCC,127,127
fragment_00235,CC(C)(C)[C@H]1C[C@H]2CC[C@@H]1C2,1,4,"0,1,2,3",*[C@H]1C[C@H]2CC[C@@H]1C2,127,127
fragment_00236,CC(C)(C)c1ccc(Cl)c([N+](=O)[O-])c1,1,4,"0,1,2,3",*c1ccc(Cl)c([N+](=O)[O-])c1,126,126
fragment_00237,CC(C)(C)C[C@@H](C)CC,1,4,"0,1,2,3",*C[C@@H](C)CC,125,125
fragment_00238,CC(C)(C)c1cc(F)c(F)c(F)c1,1,4,"0,1,2,3",*c1cc(F)c(F)c(F)c1,125,125
fragment_00239,CC(C)(C)c1ncccc1F,1,4,"0,1,2,3",*c1ncccc1F,124,124
fragment_00240,CC(C)(C)CCCl,1,4,"0,1,2,3",*CCCl,123,122
fragment_00241,CC(C)(C)C(=O)C=C1CCSCC1,1,4,"0,1,2,3",*C(=O)C=C1CCSCC1,122,122
fragment_00242,CC(C)(C)c1ccccc1I,1,4,"0,1,2,3",*c1ccccc1I,120,120
fragment_00243,CC(C)(C)c1ncn[nH]1,1,4,"0,1,2,3",*c1ncn[nH]1,120,120
