fragment_smiles,total_count,molecule_count,rank,total_fraction,molecule_fraction
*c1cccc(F)c1F,316,315,130,0.0012667615401575434,0.001262752801106412
*c1cscn1,310,309,131,0.0012427091058507546,0.0012387003667996231
*CC(C)(C)O,309,309,132,0.0012387003667996231,0.0012387003667996231
*CCCO,303,303,133,0.0012146479324928344,0.0012146479324928344
*c1ccc[nH]1,301,299,134,0.0012066304543905714,0.0011986129762883086
*c1cc(Cl)cc(Cl)c1,301,301,135,0.0012066304543905714,0.0012066304543905714
*CCl,295,293,136,0.0011825780200837826,0.0011745605419815196
*c1ccc(Cl)cn1,292,291,137,0.0011705518029303883,0.0011665430638792568
*CC[NH3+],286,286,138,0.0011464993686235994,0.0011464993686235994
*S(=O)(=O)c1ccc(F)cc1,284,284,139,0.0011384818905213366,0.0011384818905213366
*c1cccc2cccnc12,279,279,140,0.001118438195265679,0.001118438195265679
*n1ccnn1,276,276,141,0.0011064119781122848,0.0011064119781122848
*S(=O)(=O)c1cccs1,269,269,142,0.0010783508047543645,0.0010783508047543645
*c1ccc(Cl)c(F)c1,268,268,143,0.001074342065703233,0.001074342065703233
*[C@@H]1COc2ccccc2O1,267,267,144,0.0010703333266521016,0.0010703333266521016
*[NH+]1CCCCCC1,267,267,145,0.0010703333266521016,0.0010703333266521016
*c1ccc2c(c1)OCCCO2,260,259,146,0.0010422721532941813,0.0010382634142430498
*c1ccc(Cl)nc1,259,259,147,0.0010382634142430498,0.0010382634142430498
*c1ccon1,259,259,148,0.0010382634142430498,0.0010382634142430498
*CCC(F)(F)F,258,258,149,0.0010342546751919183,0.0010342546751919183
*CCS(C)(=O)=O,258,258,150,0.0010342546751919183,0.0010342546751919183
*n1cnc2ccccc21,257,256,151,0.001030245936140787,0.0010262371970896555
*S(=O)(=O)CC,257,257,152,0.001030245936140787,0.001030245936140787
*c1nnc2n1CCCCC2,255,255,153,0.001022228458038524,0.001022228458038524
*c1cccnc1Cl,254,254,154,0.0010182197189873925,0.0010182197189873925
*[C@@H]1CCCCO1,253,253,155,0.001014210979936261,0.001014210979936261
*c1ccc(Br)s1,246,246,156,0.0009861498065783408,0.0009861498065783408
*[C@H]1COc2ccccc2O1,242,242,157,0.0009701148503738149,0.0009701148503738149
*c1cc[nH]n1,237,237,158,0.0009500711551181576,0.0009500711551181576
*C(C)(C)CC,234,234,159,0.0009380449379647632,0.0009380449379647632
*N1CCCc2ccccc21,233,233,160,0.0009340361989136317,0.0009340361989136317
*c1ccc2c(c1)CCO2,230,230,161,0.0009220099817602373,0.0009220099817602373
*CCC(=O)[O-],230,229,162,0.0009220099817602373,0.0009180012427091058
*CC(=C)C,229,226,163,0.0009180012427091058,0.0009059750255557115
*c1ccc(F)cn1,227,227,164,0.000909983764606843,0.000909983764606843
*CCCCC,226,226,165,0.0009059750255557115,0.0009059750255557115
*c1ccc2ccccc2n1,226,226,166,0.0009059750255557115,0.0009059750255557115
*[C@H]1CC=CCC1,225,225,167,0.00090196628650458,0.00090196628650458
*c1cc[nH+]cc1,225,225,168,0.00090196628650458,0.00090196628650458
*S(=O)(=O)c1ccc(Cl)cc1,224,224,169,0.0008979575474534485,0.0008979575474534485
*N1C(=O)CCC1=O,223,222,170,0.0008939488084023171,0.0008899400693511856
*N1CCSCC1,221,221,171,0.0008859313303000541,0.0008859313303000541
*[O-],217,209,172,0.0008698963740955282,0.0008378264616864765
*c1nc[nH]n1,217,217,173,0.0008698963740955282,0.0008698963740955282
*c1nc2ccccc2c(=O)[nH]1,210,210,174,0.0008418352007376079,0.0008418352007376079
*N1CCOC1=O,210,210,175,0.0008418352007376079,0.0008418352007376079
*C(=O)CC(C)C,209,208,176,0.0008378264616864765,0.000833817722635345
*N1CCNC1=O,207,207,177,0.0008298089835842136,0.0008298089835842136
*[C@@H](C)C(C)C,207,207,178,0.0008298089835842136,0.0008298089835842136
*c1ccc(Br)o1,207,207,179,0.0008298089835842136,0.0008298089835842136
*c1ccc(Br)cc1F,207,207,180,0.0008298089835842136,0.0008298089835842136
*C[C@@H](C)O,203,202,181,0.0008137740273796877,0.0008097652883285563
*[C@H]1CCCCO1,201,201,182,0.0008057565492774248,0.0008057565492774248
*c1ccc2c(c1)COC2,199,199,183,0.0007977390711751619,0.0007977390711751619
*[C@@H]1CC=CCC1,196,195,184,0.0007857128540217674,0.000781704114970636
*N1CCCCC1=O,195,195,185,0.000781704114970636,0.000781704114970636
*c1ccc(C#N)cn1,195,194,186,0.000781704114970636,0.0007776953759195045
*c1ncc[nH]1,194,193,187,0.0007776953759195045,0.000773686636868373
*c1ccc([S@](C)=O)cc1,193,193,188,0.000773686636868373,0.000773686636868373
*c1ccc(N)cc1,193,193,189,0.000773686636868373,0.000773686636868373
*c1ccc(I)cc1,192,192,190,0.0007696778978172416,0.0007696778978172416
*[C@@H](C)O,191,190,191,0.0007656691587661101,0.0007616604197149786
*n1c(=O)oc2ccccc21,188,187,192,0.0007536429416127158,0.0007496342025615843
*c1nncs1,187,187,193,0.0007496342025615843,0.0007496342025615843
*c1ccc(F)c(F)c1F,184,184,194,0.0007376079854081899,0.0007376079854081899
*C[C@H](C)O,181,181,195,0.0007255817682547955,0.0007255817682547955
*c1nnc2n1CCC2,181,181,196,0.0007255817682547955,0.0007255817682547955
*CCC(N)=O,178,178,197,0.0007135555511014011,0.0007135555511014011
*n1cnnc1,178,178,198,0.0007135555511014011,0.0007135555511014011
*c1cn[nH]c1,178,178,199,0.0007135555511014011,0.0007135555511014011
*[C@@H]1CCC[NH2+]1,174,174,200,0.0006975205948968752,0.0006975205948968752
*c1cc2ccccc2[nH]1,174,174,201,0.0006975205948968752,0.0006975205948968752
*c1cc(F)cc(Br)c1,172,172,202,0.0006895031167946122,0.0006895031167946122
*[NH+]1CCOCC1,171,171,203,0.0006854943777434807,0.0006854943777434807
*CS(C)(=O)=O,168,168,204,0.0006734681605900864,0.0006734681605900864
*[C@H](C)O,168,168,205,0.0006734681605900864,0.0006734681605900864
*CC(C)(C)C,167,166,206,0.000669459421538955,0.0006654506824878235
*CCC1=CCCCC1,164,163,207,0.0006574332043855605,0.0006534244653344291
*c1cncc(Br)c1,164,164,208,0.0006574332043855605,0.0006574332043855605
*[C@H](C)C(C)C,164,164,209,0.0006574332043855605,0.0006574332043855605
*N1CC[NH2+]CC1,163,163,210,0.0006534244653344291,0.0006534244653344291
*c1ccc(Cl)cc1F,162,162,211,0.0006494157262832976,0.0006494157262832976
*SC(F)F,162,162,212,0.0006494157262832976,0.0006494157262832976
*c1[nH]cc[nH+]1,161,161,213,0.0006454069872321661,0.0006454069872321661
*c1cc(C#N)cs1,160,160,214,0.0006413982481810347,0.0006413982481810347
*c1ccc([S@@](C)=O)cc1,160,160,215,0.0006413982481810347,0.0006413982481810347
*C1CCCCCCC1,158,158,216,0.0006333807700787717,0.0006333807700787717
*n1nnc2ccccc21,157,154,217,0.0006293720310276402,0.0006173458138742458
*[NH+]1CCc2ccccc2C1,154,154,218,0.0006173458138742458,0.0006173458138742458
*n1cnc2ccccc2c1=O,154,153,219,0.0006173458138742458,0.0006133370748231144
*n1ccccc1=O,150,150,220,0.0006013108576697199,0.0006013108576697199
*c1cn2ccccc2n1,150,150,221,0.0006013108576697199,0.0006013108576697199
*c1cc(Br)ccc1F,148,148,222,0.0005932933795674571,0.0005932933795674571
*c1ccc2c(c1)CCC(=O)N2,146,146,223,0.0005852759014651942,0.0005852759014651942
*c1cccc(N)c1,146,146,224,0.0005852759014651942,0.0005852759014651942
*N1CCNC(=O)C1,144,144,225,0.0005772584233629312,0.0005772584233629312
*c1ncccc1C#N,143,142,226,0.0005732496843117997,0.0005692409452606683
*[C@@H]1CCCC[NH2+]1,143,143,227,0.0005732496843117997,0.0005732496843117997
*C(=O)NN,142,142,228,0.0005692409452606683,0.0005692409452606683
*c1ccncc1Cl,142,142,229,0.0005692409452606683,0.0005692409452606683
*C1CCC(O)CC1,140,140,230,0.0005612234671584053,0.0005612234671584053
*c1nc2c(s1)CCCC2,140,139,231,0.0005612234671584053,0.0005572147281072739
*C(=O)CC(C)(C)C,139,139,232,0.0005572147281072739,0.0005572147281072739
*c1cccc2ncccc12,139,139,233,0.0005572147281072739,0.0005572147281072739
*c1cc2ccccc2oc1=O,138,138,234,0.0005532059890561424,0.0005532059890561424
*c1nnn[n-]1,138,138,235,0.0005532059890561424,0.0005532059890561424
*c1ccccc1N,136,136,236,0.0005451885109538794,0.0005451885109538794
*CC(C)=O,136,136,237,0.0005451885109538794,0.0005451885109538794
*C(=O)/C=C/c1ccccc1,135,135,238,0.000541179771902748,0.000541179771902748
*c1ccc([N+](=O)[O-])cc1Cl,135,135,239,0.000541179771902748,0.000541179771902748
*[C@@H]1C[C@H]2CC[C@@H]1C2,135,135,240,0.000541179771902748,0.000541179771902748
*c1cccc(C#C)c1,134,133,241,0.0005371710328516165,0.000533162293800485
*N1CCc2cc(F)ccc2C1,133,133,242,0.000533162293800485,0.000533162293800485
*c1ccc2c(c1)CCCC2,129,129,243,0.0005171273375959591,0.0005171273375959591
*c1ccc([N+](=O)[O-])o1,128,128,244,0.0005131185985448278,0.0005131185985448278
*[C@H](C)CCC,127,127,245,0.0005091098594936963,0.0005091098594936963
*[C@H]1C[C@H]2CC[C@@H]1C2,127,127,246,0.0005091098594936963,0.0005091098594936963
*c1ccc(Cl)c([N+](=O)[O-])c1,126,126,247,0.0005051011204425648,0.0005051011204425648
*C[C@@H](C)CC,125,125,248,0.0005010923813914334,0.0005010923813914334
*c1cc(F)c(F)c(F)c1,125,125,249,0.0005010923813914334,0.0005010923813914334
*c1ncccc1F,124,124,250,0.0004970836423403019,0.0004970836423403019
*CCCl,123,122,251,0.0004930749032891704,0.0004890661642380389
*C(=O)C=C1CCSCC1,122,122,252,0.0004890661642380389,0.0004890661642380389
*c1ccccc1I,120,120,253,0.000481048686135776,0.000481048686135776
*c1ncn[nH]1,120,120,254,0.000481048686135776,0.000481048686135776
*[C@@H]1CCC[NH2+]C1,120,120,255,0.000481048686135776,0.000481048686135776
*c1ccc2[nH]c(=O)[nH]c2c1,120,120,256,0.000481048686135776,0.000481048686135776
*N1CCC(O)CC1,118,118,257,0.00047303120803351306,0.00047303120803351306
*C[C@H](C)CC,118,118,258,0.00047303120803351306,0.00047303120803351306
*S(=O)(=O)CCC,117,117,259,0.0004690224689823816,0.0004690224689823816
*c1cn2ccsc2n1,117,117,260,0.0004690224689823816,0.0004690224689823816
*C(=O)C(F)(F)F,116,116,261,0.0004650137299312501,0.0004650137299312501
*c1ccc(F)c(Br)c1,115,115,262,0.00046100499088011867,0.00046100499088011867
*c1ccccc1S(C)(=O)=O,114,114,263,0.0004569962518289872,0.0004569962518289872
*N1CCc2sccc2C1,113,113,264,0.00045298751277785573,0.00045298751277785573
*c1cc([N+](=O)[O-])ccc1Cl,113,111,265,0.00045298751277785573,0.0004449700346755928
*c1cncnc1,113,113,266,0.00045298751277785573,0.00045298751277785573
*N1CCCS1(=O)=O,112,112,267,0.00044897877372672423,0.00044897877372672423
*C(=O)CCCC,111,111,268,0.0004449700346755928,0.0004449700346755928
*c1nnc(N)s1,111,110,269,0.0004449700346755928,0.00044096129562446135
*C/C=C/c1ccccc1,110,110,270,0.00044096129562446135,0.00044096129562446135
*[C@@H](C)CCC,110,110,271,0.00044096129562446135,0.00044096129562446135
*c1cnc2ccccc2n1,109,109,272,0.00043695255657332985,0.00043695255657332985
*C1CCC([NH3+])CC1,109,109,273,0.00043695255657332985,0.00043695255657332985
*[C@H](C)C(=O)[O-],109,109,274,0.00043695255657332985,0.00043695255657332985
*c1csnn1,106,106,275,0.00042492633941993547,0.00042492633941993547
*c1ccc(F)cc1Br,104,104,276,0.0004169088613176725,0.0004169088613176725
*c1n[nH]c2ccccc12,104,104,277,0.0004169088613176725,0.0004169088613176725
*c1ccc2nccnc2c1,103,103,278,0.0004129001222665411,0.0004129001222665411
*c1cc(Cl)ccc1F,102,102,279,0.0004088913832154096,0.0004088913832154096
*n1nnc2ccccc2c1=O,102,102,280,0.0004088913832154096,0.0004088913832154096
*[C@H]1CCC[NH2+]C1,102,102,281,0.0004088913832154096,0.0004088913832154096
*C(=O)CCl,101,100,282,0.00040488264416427814,0.00040087390511314665
*c1cccc(S(C)(=O)=O)c1,101,101,283,0.00040488264416427814,0.00040488264416427814
*c1ccc2c(c1)NC(=O)CO2,101,101,284,0.00040488264416427814,0.00040488264416427814
*CCC(C)(C)O,100,100,285,0.00040087390511314665,0.00040087390511314665
*[C@@H](C)[NH3+],100,100,286,0.00040087390511314665,0.00040087390511314665
*[C@H]1CCC[NH2+]1,100,100,287,0.00040087390511314665,0.00040087390511314665
*c1ncccc1Cl,99,99,288,0.0003968651660620152,0.0003968651660620152
*N1CCC2(CC1)OCCO2,99,99,289,0.0003968651660620152,0.0003968651660620152
*[C@@H](C)CCCO,99,99,290,0.0003968651660620152,0.0003968651660620152
*[C@H](CO)C(C)C,99,99,291,0.0003968651660620152,0.0003968651660620152
*S(=O)(=O)c1ccccc1F,98,98,292,0.0003928564270108837,0.0003928564270108837
*C1CCSCC1,98,98,293,0.0003928564270108837,0.0003928564270108837
*[C@H](C)CCCO,98,98,294,0.0003928564270108837,0.0003928564270108837
*c1cccc2c1OCCO2,98,98,295,0.0003928564270108837,0.0003928564270108837
*[C@H](C)[NH3+],98,98,296,0.0003928564270108837,0.0003928564270108837
*C1(O)CCCCC1,98,98,297,0.0003928564270108837,0.0003928564270108837
*[C@@H](C)C(=O)[O-],97,97,298,0.00038884768795975226,0.00038884768795975226
*CCC[NH3+],97,97,299,0.00038884768795975226,0.00038884768795975226
*c1cccc(I)c1,97,97,300,0.00038884768795975226,0.00038884768795975226
*[C@H]1CN2CCCC[C@@H]2CO1,97,97,301,0.00038884768795975226,0.00038884768795975226
*c1cc(=O)[nH]c2ccccc12,96,96,302,0.0003848389489086208,0.0003848389489086208
*CCCS(C)(=O)=O,96,96,303,0.0003848389489086208,0.0003848389489086208
*c1csc2ccccc12,95,95,304,0.0003808302098574893,0.0003808302098574893
*c1ccc(C#N)cc1F,95,95,305,0.0003808302098574893,0.0003808302098574893
*c1ccc(Br)cn1,95,95,306,0.0003808302098574893,0.0003808302098574893
*c1cc(Cl)ccc1O,95,95,307,0.0003808302098574893,0.0003808302098574893
*[C@H]1Cc2ccccc2O1,94,94,308,0.0003768214708063579,0.0003768214708063579
*N1C(=O)CNC1=O,94,94,309,0.0003768214708063579,0.0003768214708063579
*N1CC[NH+]2CCC[C@@H]2C1,94,94,310,0.0003768214708063579,0.0003768214708063579
*[C@@H]1CN2CCCC[C@@H]2CO1,93,93,311,0.0003728127317552264,0.0003728127317552264
*c1cccc2[nH]ccc12,93,93,312,0.0003728127317552264,0.0003728127317552264
*CC(C)(C)S(C)(=O)=O,93,93,313,0.0003728127317552264,0.0003728127317552264
*c1n[nH]c(=O)[nH]1,93,93,314,0.0003728127317552264,0.0003728127317552264
*C(=O)/C=C/c1ccco1,93,93,315,0.0003728127317552264,0.0003728127317552264
*c1cccc2cn[nH]c12,92,92,316,0.00036880399270409494,0.00036880399270409494
*[C@H](C)C(N)=O,92,92,317,0.00036880399270409494,0.00036880399270409494
*C1(O)CCCC1,92,92,318,0.00036880399270409494,0.00036880399270409494
*n1ccc2ccccc21,92,92,319,0.00036880399270409494,0.00036880399270409494
*c1ccnc2ccccc12,91,91,320,0.00036479525365296344,0.00036479525365296344
*c1nc2ccc(F)cc2s1,91,91,321,0.00036479525365296344,0.00036479525365296344
*N1CC(=O)Nc2ccccc21,91,91,322,0.00036479525365296344,0.00036479525365296344
*c1ncco1,91,91,323,0.00036479525365296344,0.00036479525365296344
*c1ncc(Cl)cc1Cl,90,90,324,0.000360786514601832,0.000360786514601832
*c1ccc2[nH]ccc2c1,90,90,325,0.000360786514601832,0.000360786514601832
*C1[NH+]=c2ccccc2=[NH+]1,90,89,326,0.000360786514601832,0.00035677777555070055
*C(=O)[C@@H](C)CC,89,88,327,0.00035677777555070055,0.00035276903649956906
*[C@@H]1CC[NH2+]C1,89,89,328,0.00035677777555070055,0.00035677777555070055
*N1CCCCCCC1,89,89,329,0.00035677777555070055,0.00035677777555070055
*c1ccc2ncccc2c1,89,89,330,0.00035677777555070055,0.00035677777555070055
*c1cc(F)ccc1O,89,89,331,0.00035677777555070055,0.00035677777555070055
*[C@@H]1Cc2ccccc2O1,89,89,332,0.00035677777555070055,0.00035677777555070055
*c1cc(Br)cs1,89,89,333,0.00035677777555070055,0.00035677777555070055
*c1ccc(Cl)nn1,88,87,334,0.00035276903649956906,0.0003487602974484376
*C[C@H](C)C#N,88,88,335,0.00035276903649956906,0.00035276903649956906
*S(=O)(=O)c1cccc(F)c1,88,88,336,0.00035276903649956906,0.00035276903649956906
*c1cncc2ccccc12,87,87,337,0.0003487602974484376,0.0003487602974484376
*[C@@H](C)C(N)=O,87,87,338,0.0003487602974484376,0.0003487602974484376
*[C@@H]1COCCO1,87,87,339,0.0003487602974484376,0.0003487602974484376
*N[C@H]1CCCc2ccccc21,87,87,340,0.0003487602974484376,0.0003487602974484376
*c1ccc(Cl)cc1[N+](=O)[O-],86,86,341,0.0003447515583973061,0.0003447515583973061
*n1nc2ccccn2c1=O,86,86,342,0.0003447515583973061,0.0003447515583973061
*c1cccc(S(N)(=O)=O)c1,86,86,343,0.0003447515583973061,0.0003447515583973061
*C1COC1,86,86,344,0.0003447515583973061,0.0003447515583973061
*c1cc(F)ccc1Br,86,86,345,0.0003447515583973061,0.0003447515583973061
*c1n[nH]c(=O)c2ccccc12,86,86,346,0.0003447515583973061,0.0003447515583973061
*C[C@@H](C)C#N,85,85,347,0.00034074281934617467,0.00034074281934617467
*[C@@H]1CCO[C@]2(CCOC2)C1,85,85,348,0.00034074281934617467,0.00034074281934617467
*c1cccnn1,85,85,349,0.00034074281934617467,0.00034074281934617467
*N[C@@H]1CCCc2ccccc21,85,85,350,0.00034074281934617467,0.00034074281934617467
*n1cc([N+](=O)[O-])cn1,84,84,351,0.0003367340802950432,0.0003367340802950432
*N1CCC[C@H](O)C1,84,84,352,0.0003367340802950432,0.0003367340802950432
